cod;nome;período;ValorMulheres;ValorMulheresNegras;ValorMulheresNaoNegras
32;ES;2004;137;69.0;33.0
32;ES;2005;149;90.0;30.0
32;ES;2006;183;103.0;44.0
32;ES;2007;186;116.0;32.0
32;ES;2008;190;129.0;30.0
32;ES;2009;216;152.0;32.0
32;ES;2010;174;128.0;34.0
32;ES;2011;167;104.0;40.0
32;ES;2012;163;137.0;17.0
32;ES;2013;171;129.0;36.0
32;ES;2014;140;110.0;25.0
32;ES;2015;141;107.0;24.0
32;ES;2016;104;81.0;18.0
32;ES;2017;151;116.0;26.0
32;ES;2018;100;76.0;20.0
32;ES;2019;97;73.0;13.0
32;ES;2020;101;78.0;16.0
32;ES;2021;125;88.0;25.0
32;ES;2022;102;72.0;23.0
32;ES;2023;99;75.0;21.0
33;RJ;1989;304;;
33;RJ;1990;477;;
33;RJ;1991;370;;
33;RJ;1992;319;;
33;RJ;1993;381;;
33;RJ;1994;491;;
33;RJ;1995;587;;
33;RJ;1996;651;0.0;0.0
33;RJ;1997;646;294.0;250.0
33;RJ;1998;560;255.0;202.0
33;RJ;1999;543;265.0;232.0
33;RJ;2000;540;265.0;246.0
33;RJ;2001;566;306.0;206.0
33;RJ;2002;560;284.0;236.0
33;RJ;2003;527;277.0;228.0
33;RJ;2004;506;251.0;230.0
33;RJ;2005;507;273.0;204.0
33;RJ;2006;504;267.0;219.0
33;RJ;2007;416;216.0;187.0
33;RJ;2008;373;223.0;133.0
33;RJ;2009;350;190.0;145.0
33;RJ;2010;339;196.0;128.0
33;RJ;2011;366;223.0;127.0
33;RJ;2012;365;223.0;125.0
33;RJ;2013;387;236.0;137.0
33;RJ;2014;464;283.0;164.0
33;RJ;2015;387;233.0;150.0
33;RJ;2016;428;276.0;142.0
33;RJ;2017;401;260.0;136.0
33;RJ;2018;380;242.0;130.0
33;RJ;2019;217;131.0;86.0
33;RJ;2020;285;196.0;85.0
33;RJ;2021;284;179.0;105.0
33;RJ;2022;253;161.0;91.0
33;RJ;2023;334;205.0;49.0
35;SP;1989;671;;
35;SP;1990;679;;
35;SP;1991;789;;
35;SP;1992;644;;
35;SP;1993;726;;
35;SP;1994;787;;
35;SP;1995;959;;
35;SP;1996;959;24.0;143.0
35;SP;1997;1028;151.0;274.0
35;SP;1998;1034;351.0;573.0
35;SP;1999;1123;412.0;644.0
35;SP;2000;1150;378.0;740.0
35;SP;2001;1100;379.0;699.0
35;SP;2002;1053;363.0;673.0
35;SP;2003;1029;378.0;640.0
35;SP;2004;861;285.0;572.0
35;SP;2005;776;260.0;512.0
35;SP;2006;788;242.0;530.0
35;SP;2007;595;185.0;396.0
35;SP;2008;667;199.0;451.0
35;SP;2009;660;230.0;413.0
35;SP;2010;678;223.0;424.0
35;SP;2011;580;179.0;380.0
35;SP;2012;640;257.0;370.0
35;SP;2013;620;215.0;401.0
35;SP;2014;612;227.0;371.0
35;SP;2015;559;201.0;349.0
35;SP;2016;507;200.0;302.0
35;SP;2017;495;166.0;321.0
35;SP;2018;454;176.0;267.0
35;SP;2019;405;149.0;249.0
35;SP;2020;397;146.0;248.0
35;SP;2021;342;131.0;209.0
35;SP;2022;373;159.0;213.0
35;SP;2023;389;170.0;217.0
41;PR;1989;105;;
41;PR;1990;125;;
41;PR;1991;149;;
41;PR;1992;116;;
41;PR;1993;138;;
41;PR;1994;130;;
41;PR;1995;163;;
41;PR;1996;154;0.0;0.0
41;PR;1997;157;4.0;36.0
41;PR;1998;178;22.0;117.0
41;PR;1999;182;30.0;126.0
41;PR;2000;164;22.0;137.0
41;PR;2001;197;24.0;169.0
41;PR;2002;204;35.0;167.0
41;PR;2003;227;32.0;190.0
41;PR;2004;249;41.0;202.0
41;PR;2005;239;50.0;185.0
41;PR;2006;249;48.0;196.0
41;PR;2007;241;41.0;193.0
41;PR;2008;306;55.0;244.0
41;PR;2009;331;57.0;274.0
41;PR;2010;338;51.0;283.0
41;PR;2011;283;55.0;220.0
41;PR;2012;321;68.0;248.0
41;PR;2013;283;59.0;223.0
41;PR;2014;284;63.0;218.0
41;PR;2015;244;49.0;193.0
41;PR;2016;238;44.0;190.0
41;PR;2017;247;33.0;207.0
41;PR;2018;211;63.0;146.0
41;PR;2019;204;57.0;145.0
41;PR;2020;197;52.0;145.0
41;PR;2021;197;73.0;122.0
41;PR;2022;240;70.0;168.0
41;PR;2023;230;76.0;150.0
42;SC;1989;39;;
42;SC;1990;46;;
42;SC;1991;38;;
42;SC;1992;50;;
42;SC;1993;34;;
42;SC;1994;45;;
42;SC;1995;48;;
42;SC;1996;67;0.0;0.0
42;SC;1997;51;1.0;12.0
42;SC;1998;69;2.0;44.0
42;SC;1999;50;1.0;42.0
42;SC;2000;53;9.0;40.0
42;SC;2001;60;7.0;41.0
42;SC;2002;75;9.0;61.0
42;SC;2003;70;8.0;52.0
