cod;nome;período;valor;populacao
51.0;MT;2016;1180.0;3305531.0
51.0;MT;2017;1102.0;3344544.0
51.0;MT;2018;989.0;3441998.0
51.0;MT;2019;895.0;3484466.0
51.0;MT;2020;987.0;3526220.0
51.0;MT;2021;888.0;3567234.0
51.0;MT;2022;1077.0;3658649.0
51.0;MT;2023;1105.0;3658649.0
;MT;2024;;3836399.0
;MT;2025;;3887782.0
15.0;PA;1989;666.0;
15.0;PA;1990;748.0;
15.0;PA;1991;810.0;4949222.0
15.0;PA;1992;759.0;5328133.0
15.0;PA;1993;623.0;5212812.0
15.0;PA;1994;716.0;5332187.0
15.0;PA;1995;700.0;5448598.0
15.0;PA;1996;700.0;5510849.0
15.0;PA;1997;754.0;5650681.0
15.0;PA;1998;774.0;5768476.0
15.0;PA;1999;642.0;5886454.0
15.0;PA;2000;806.0;6195965.0
15.0;PA;2001;966.0;6341736.0
15.0;PA;2002;1192.0;6453683.0
15.0;PA;2003;1405.0;6574993.0
15.0;PA;2004;1519.0;6850181.0
15.0;PA;2005;1926.0;6970586.0
15.0;PA;2006;2073.0;7110465.0
15.0;PA;2007;2194.0;7090378.0
15.0;PA;2008;2860.0;7321493.0
15.0;PA;2009;2989.0;7397238.0
15.0;PA;2010;3521.0;7581051.0
15.0;PA;2011;3073.0;7688593.0
15.0;PA;2012;3236.0;7792561.0
15.0;PA;2013;3405.0;7969654.0
15.0;PA;2014;3446.0;8073924.0
15.0;PA;2015;3675.0;8175113.0
15.0;PA;2016;4223.0;8272724.0
15.0;PA;2017;4575.0;8366628.0
15.0;PA;2018;4528.0;8513497.0
15.0;PA;2019;3405.0;8602865.0
15.0;PA;2020;2809.0;8690745.0
15.0;PA;2021;2847.0;8777124.0
15.0;PA;2022;2901.0;8120131.0
15.0;PA;2023;2542.0;8120131.0
;PA;2024;;8664306.0
;PA;2025;;8711196.0
25.0;PB;1989;461.0;
25.0;PB;1990;440.0;
25.0;PB;1991;401.0;3201324.0
25.0;PB;1992;355.0;3229163.0
25.0;PB;1993;365.0;3274323.0
25.0;PB;1994;385.0;3307583.0
25.0;PB;1995;457.0;3340018.0
25.0;PB;1996;636.0;3305616.0
25.0;PB;1997;492.0;3331673.0
25.0;PB;1998;455.0;3353624.0
25.0;PB;1999;403.0;3375609.0
25.0;PB;2000;507.0;3444794.0
25.0;PB;2001;484.0;3468594.0
25.0;PB;2002;607.0;3494893.0
25.0;PB;2003;616.0;3518595.0
25.0;PB;2004;675.0;3568350.0
25.0;PB;2005;745.0;3595886.0
25.0;PB;2006;825.0;3623215.0
25.0;PB;2007;864.0;3641397.0
25.0;PB;2008;1029.0;3742606.0
25.0;PB;2009;1263.0;3769977.0
25.0;PB;2010;1455.0;3766528.0
25.0;PB;2011;1614.0;3791315.0
25.0;PB;2012;1525.0;3815171.0
25.0;PB;2013;1551.0;3914421.0
25.0;PB;2014;1551.0;3943885.0
25.0;PB;2015;1522.0;3972202.0
25.0;PB;2016;1355.0;3999415.0
25.0;PB;2017;1341.0;4025558.0
25.0;PB;2018;1244.0;3996496.0
25.0;PB;2019;953.0;4018127.0
25.0;PB;2020;1141.0;4039277.0
25.0;PB;2021;1144.0;4059905.0
25.0;PB;2022;1105.0;3974687.0
25.0;PB;2023;1079.0;3974687.0
;PB;2024;;4145040.0
;PB;2025;;4164468.0
26.0;PE;1989;2553.0;
26.0;PE;1990;2742.0;
26.0;PE;1991;2944.0;7127956.0
26.0;PE;1992;2531.0;7187355.0
26.0;PE;1993;2763.0;7295118.0
26.0;PE;1994;2593.0;7371110.0
26.0;PE;1995;2706.0;7445216.0
26.0;PE;1996;3022.0;7399071.0
26.0;PE;1997;3713.0;7466773.0
26.0;PE;1998;4423.0;7523755.0
26.0;PE;1999;4217.0;7580826.0
26.0;PE;2000;4290.0;7929153.0
26.0;PE;2001;4710.0;8008207.0
26.0;PE;2002;4396.0;8084667.0
26.0;PE;2003;4517.0;8161862.0
26.0;PE;2004;4174.0;8323911.0
26.0;PE;2005;4330.0;8413593.0
26.0;PE;2006;4472.0;8502603.0
26.0;PE;2007;4557.0;8486638.0
26.0;PE;2008;4446.0;8734194.0
26.0;PE;2009;3963.0;8810256.0
26.0;PE;2010;3473.0;8796448.0
26.0;PE;2011;3471.0;8864906.0
26.0;PE;2012;3327.0;8931028.0
26.0;PE;2013;3124.0;9208550.0
26.0;PE;2014;3358.0;9277727.0
26.0;PE;2015;3847.0;9345173.0
26.0;PE;2016;4447.0;9410336.0
26.0;PE;2017;5419.0;9473266.0
26.0;PE;2018;4190.0;9496294.0
26.0;PE;2019;3474.0;9557071.0
26.0;PE;2020;3786.0;9616621.0
26.0;PE;2021;3439.0;9674793.0
26.0;PE;2022;3409.0;9058931.0
26.0;PE;2023;3698.0;9056843.0
;PE;2024;;9539029.0
;PE;2025;;9562007.0
22.0;PI;1989;142.0;
22.0;PI;1990;109.0;
22.0;PI;1991;103.0;2582075.0
22.0;PI;1992;92.0;2610476.0
22.0;PI;1993;117.0;2657415.0
22.0;PI;1994;99.0;2691615.0
22.0;PI;1995;114.0;2724967.0
22.0;PI;1996;117.0;2673085.0
22.0;PI;1997;142.0;2695876.0
22.0;PI;1998;140.0;2714999.0
22.0;PI;1999;133.0;2734152.0
22.0;PI;2000;230.0;2843427.0
22.0;PI;2001;262.0;2873010.0
22.0;PI;2002;308.0;2898223.0
22.0;PI;2003;298.0;2923725.0
22.0;PI;2004;327.0;2977259.0
22.0;PI;2005;368.0;3006885.0
22.0;PI;2006;418.0;3036290.0
22.0;PI;2007;383.0;3032435.0
22.0;PI;2008;361.0;3119697.0
22.0;PI;2009;385.0;3145325.0
22.0;PI;2010;411.0;3118360.0
22.0;PI;2011;440.0;3140328.0
22.0;PI;2012;525.0;3160748.0
22.0;PI;2013;598.0;3184166.0
22.0;PI;2014;717.0;3194718.0
22.0;PI;2015;650.0;3204028.0
22.0;PI;2016;701.0;3212180.0
22.0;PI;2017;626.0;3219257.0
22.0;PI;2018;619.0;3264531.0
22.0;PI;2019;569.0;3273227.0
22.0;PI;2020;674.0;3281480.0
22.0;PI;2021;766.0;3289290.0
22.0;PI;2022;794.0;3271199.0
22.0;PI;2023;725.0;3271199.0
;PI;2024;;3375646.0
;PI;2025;;3384547.0
41.0;PR;1989;1112.0;
41.0;PR;1990;1167.0;
41.0;PR;1991;1225.0;8448620.0
41.0;PR;1992;1092.0;8511279.0
41.0;PR;1993;1237.0;8587901.0
41.0;PR;1994;1260.0;8651138.0
41.0;PR;1995;1387.0;8712805.0
41.0;PR;1996;1379.0;9003804.0
41.0;PR;1997;1581.0;9142215.0
41.0;PR;1998;1625.0;9258813.0
41.0;PR;1999;1706.0;9375592.0
41.0;PR;2000;1789.0;9564643.0
41.0;PR;2001;2052.0;9694709.0
41.0;PR;2002;2266.0;9798006.0
41.0;PR;2003;2555.0;9906866.0
41.0;PR;2004;2826.0;10135388.0
41.0;PR;2005;2977.0;10261856.0
41.0;PR;2006;3098.0;10387378.0
41.0;PR;2007;3105.0;10284503.0
41.0;PR;2008;3445.0;10590169.0
41.0;PR;2009;3698.0;10686247.0
41.0;PR;2010;3586.0;10444526.0
41.0;PR;2011;3376.0;10512349.0
41.0;PR;2012;3489.0;10577755.0
41.0;PR;2013;2936.0;10997465.0
41.0;PR;2014;2980.0;11081692.0
41.0;PR;2015;2936.0;11163018.0
41.0;PR;2016;3080.0;11242720.0
41.0;PR;2017;2759.0;11320892.0
41.0;PR;2018;2443.0;11348937.0
41.0;PR;2019;2095.0;11433957.0
41.0;PR;2020;2281.0;11516840.0
41.0;PR;2021;2348.0;11597484.0
41.0;PR;2022;2600.0;11444380.0
41.0;PR;2023;2215.0;11444380.0
;PR;2024;;11824665.0
;PR;2025;;11890517.0
33.0;RJ;1989;4290.0;
33.0;RJ;1990;7101.0;
33.0;RJ;1991;5055.0;12807197.0
33.0;RJ;1992;4536.0;12916705.0
33.0;RJ;1993;5367.0;13065279.0
33.0;RJ;1994;6420.0;13182301.0
33.0;RJ;1995;8218.0;13296419.0
33.0;RJ;1996;8034.0;13406308.0
33.0;RJ;1997;7954.0;13555657.0
33.0;RJ;1998;7573.0;13681410.0
33.0;RJ;1999;7261.0;13807358.0
33.0;RJ;2000;7350.0;14392106.0
33.0;RJ;2001;7362.0;14558545.0
33.0;RJ;2002;8335.0;14724475.0
33.0;RJ;2003;8115.0;14879118.0
33.0;RJ;2004;7731.0;15203750.0
33.0;RJ;2005;7408.0;15383407.0
33.0;RJ;2006;7389.0;15561720.0
33.0;RJ;2007;6551.0;15420450.0
33.0;RJ;2008;5662.0;15872362.0
33.0;RJ;2009;5365.0;16010429.0
33.0;RJ;2010;5667.0;15989929.0
33.0;RJ;2011;4781.0;16112678.0
33.0;RJ;2012;4772.0;16231365.0
33.0;RJ;2013;5111.0;16369179.0
33.0;RJ;2014;5718.0;16461173.0
33.0;RJ;2015;5067.0;16550024.0
33.0;RJ;2016;6053.0;16635996.0
33.0;RJ;2017;6416.0;16718956.0
33.0;RJ;2018;6455.0;17159960.0
33.0;RJ;2019;3552.0;17264943.0
33.0;RJ;2020;4831.0;17366189.0
33.0;RJ;2021;4693.0;17463349.0
33.0;RJ;2022;3762.0;16055174.0
